customer_ID,customer_lastname,credit_score,account_ID,age,Email
36366026,Richards,581,10059824,30,sampleemailtest30+1@gmail.com
30865456,Robinson,582,10059825,36,sampleemailtest30+2@gmail.com
38783708,Carter,583,10059826,35,sampleemailtest30+3@gmail.com
88539206,Richardson,584,10059827,34,sampleemailtest30+4@gmail.com
74437856,Murphy,585,10059828,30,sampleemailtest30+5@gmail.com
43302747,Murray,586,10059829,34,sampleemailtest30+6@gmail.com
83438861,Robinson,698,10059830,35,sampleemailtest30+7@gmail.com
1069238,Reed,699,10059831,37,sampleemailtest30+8@gmail.com
85591959,Fowler,700,10059832,31,sampleemailtest30+9@gmail.com
13746273,Anderson,701,10059833,31,sampleemailtest30+10@gmail.com
28353874,Douglas,702,10059834,34,sampleemailtest30+11@gmail.com
39233801,Hunt,703,10059835,36,sampleemailtest30+12@gmail.com
50425938,Craig,704,10059836,37,sampleemailtest30+13@gmail.com
85342226,Elliott,705,10059837,35,sampleemailtest30+14@gmail.com
53385733,Spencer,840,10059838,38,sampleemailtest30+15@gmail.com
22097310,Smith,690,10059839,36,sampleemailtest30+16@gmail.com
49488418,Thompson,840,10059840,39,sampleemailtest30+17@gmail.com
6375592,Ryan,620,10059841,34,sampleemailtest30+18@gmail.com
45739858,Carter,621,10059842,38,sampleemailtest30+19@gmail.com
214453,Perry,622,10059843,34,sampleemailtest30+20@gmail.com
91702846,Sullivan,623,10059844,31,sampleemailtest30+21@gmail.com
20970323,Williams,624,10059845,33,sampleemailtest30+22@gmail.com
39037019,Nelson,740,10059846,40,sampleemailtest30+23@gmail.com
67509777,Smith,741,10059847,32,sampleemailtest30+24@gmail.com
47271651,Bennett,742,10059848,39,sampleemailtest30+25@gmail.com
63567671,Richardson,743,10059849,35,sampleemailtest30+26@gmail.com
11620008,Henderson,744,10059850,39,sampleemailtest30+27@gmail.com
67277705,Riley,745,10059851,30,sampleemailtest30+28@gmail.com
77856380,Casey,746,10059852,40,sampleemailtest30+29@gmail.com
16751893,Howard,747,10059853,36,sampleemailtest30+30@gmail.com
26033206,Hill,748,10059854,32,sampleemailtest30+31@gmail.com
23167424,Howard,610,10059855,33,sampleemailtest30+32@gmail.com
4657864,Williams,611,10059856,39,sampleemailtest30+33@gmail.com
59406077,Parker,612,10059857,37,sampleemailtest30+34@gmail.com
97822528,Perkins,613,10059858,32,sampleemailtest30+35@gmail.com
4060581,Howard,614,10059859,40,sampleemailtest30+36@gmail.com
27256430,Cameron,615,10059860,38,sampleemailtest30+37@gmail.com
66644454,Evans,616,10059861,31,sampleemailtest30+38@gmail.com
76918677,Barnes,617,10059862,37,sampleemailtest30+39@gmail.com
49387640,Chapman,618,10059863,40,sampleemailtest30+40@gmail.com
26813059,Dixon,705,10059864,36,sampleemailtest30+41@gmail.com
53860414,Bennett,706,10059865,38,sampleemailtest30+42@gmail.com
772630,Harrison,707,10059866,31,sampleemailtest30+43@gmail.com
23664328,Hill,708,10059867,37,sampleemailtest30+44@gmail.com
85359306,Grant,709,10059868,35,sampleemailtest30+45@gmail.com
62936603,Morris,710,10059869,35,sampleemailtest30+46@gmail.com
41570715,Murray,711,10059870,38,sampleemailtest30+47@gmail.com
20501186,Foster,650,10059871,31,sampleemailtest30+48@gmail.com
94817453,Bailey,651,10059872,38,sampleemailtest30+49@gmail.com
76183877,Ross,652,10059873,40,sampleemailtest30+50@gmail.com
31296164,Montgomery,653,10059874,59,sampleemailtest30+51@gmail.com
17217866,Tucker,654,10059875,55,sampleemailtest30+52@gmail.com
12983624,Perkins,655,10059876,52,sampleemailtest30+53@gmail.com
23794003,Elliott,656,10059877,50,sampleemailtest30+54@gmail.com
